trial,missing,meanpub,medianpub,modepub,maxpub,minpub,stdevpub,meanprox,medianprox,modeprox,maxprox,minprox,stdevprox
1,0,48.089,38,37,428,16,35.084298296916096,4.066,3,2,132,1,10.945841925382329
2,0,44.599,39,33,331,21,21.553625165102915,4.516,2,2,215,0,17.456645682331548
3,0,44.934,38,41,359,18,26.18299435116606,3.759,2,2,160,0,12.548082458024037
4,0,46.036,39,31,230,18,26.028911006959262,4.001,3,2,186,0,13.78655388659774
5,0,41.689,38,31,257,16,19.85493635088004,3.553,2,2,140,0,11.078263353022283
6,0,39.111,36,33,123,16,13.535652658549326,3.244,2,2,136,0,9.334323413809509
7,0,44.825,40,39,160,18,17.248068612771444,3.531,2,2,134,0,10.043500929004407
8,0,44.284,38,32,310,18,24.171545412066852,3.488,2,2,152,0,11.620451406502697
9,0,41.526,38,32,355,19,17.946849679356347,3.78,2,2,187,0,14.354429617704977
10,0,40.807,38,34,102,18,14.087732791873046,3.184,2,2,82,0,6.323300414192506
11,0,37.048,34,31,94,18,11.40226765637903,3.006,2,2,120,0,8.301739750370533
12,0,38.215,37,38,109,17,10.660131960412746,3.096,2,2,101,0,7.376801556311586
13,0,42.008,35,34,542,17,39.81998954755722,2.998,2,2,86,0,5.710394435116098
14,0,45.256,37,28,366,16,38.04894461330282,3.655,2,2,159,0,13.8947846345321
15,0,43.103,36,32,399,19,28.243265977451575,3.185,2,2,109,0,7.47158615018256
16,0,42.878,36,33,423,18,24.55247319395621,3.371,2,2,140,1,9.230957131823928
17,0,40.293,37,32,149,17,14.30250721771231,3.242,2,2,124,0,8.151188740170326
18,0,45.053,38,29,366,16,29.339307864807996,3.37,2,2,108,0,8.400933024115593
19,0,41.594,38,33,391,19,21.39619033755684,2.681,2,2,47,0,2.3589836378838536
20,0,40.687,37,33,136,19,14.148470242758052,3.208,2,2,107,0,8.030269062816059
21,0,58.33,44,36,885,19,62.16411728221901,2.908,2,2,80,0,5.622201094335321
22,0,42.874,39,39,139,19,15.999503370670846,2.979,2,2,83,0,4.914540844444337
23,0,60.748,42,43,699,22,63.353738581019854,2.871,3,2,12,0,1.5718873464182541
24,0,54.491,43,41,643,20,56.69335106566765,2.85,2,2,26,0,2.350537177971243
25,0,50.692,43,35,269,21,27.83691847223806,2.703,2,2,74,0,2.925294574628063
26,0,48.201,36,34,1553,19,80.71901981044608,2.442,2,2,49,0,3.1248040579210175
27,0,66.608,34,28,1302,18,112.92373579591857,2.995,2,2,136,0,9.921058532354529
28,0,41.368,36,31,277,16,22.52545164856794,3.055,2,2,119,0,8.507546846967811
29,0,40.285,37,29,162,19,15.211547132562345,3.018,2,2,124,0,9.76939696793586
30,0,47.133,41,33,155,19,22.398146976658303,2.287,2,2,12,0,1.2066843361406008
31,0,44.989,39,40,186,17,23.126472119904335,2.372,2,2,20,0,1.3606863957089734
32,0,41.19,36,36,237,18,19.06587022423596,2.987,2,2,116,0,8.868905709752822
33,0,41.489,36,40,339,17,23.10410523432316,3.017,2,2,127,0,8.227052655440975
34,0,52.325,44,36,296,18,30.80532978793338,2.308,2,2,12,0,1.3064619561406317
35,0,43.738,37,31,589,17,35.371407838711974,2.385,2,2,107,0,4.794764307530195
36,0,42.989,38,39,232,18,21.358583007027125,2.75,2,2,72,0,4.11514695174236
37,0,59.837,40,38,1017,18,90.9207843126095,2.391,2,2,12,0,1.2097861722563115
38,0,48.622,41,37,351,18,27.045934973644382,2.708,2,2,67,0,5.105761922064565
39,0,42.799,38,35,177,18,19.563315729250025,2.464,2,2,98,0,4.7276902452522815
40,0,45.998,38,32,221,17,27.94557122248444,3.225,2,2,143,0,11.103587918536304
41,0,43.42,39,31,189,17,18.151172553448575,2.573,2,2,89,0,4.922692749289137
42,0,47.78,41,43,231,20,24.189020416476335,3.668,2,2,185,0,14.121444373405764
43,0,43.956,38,32,464,18,25.502832361493866,3.495,2,2,172,0,14.036345464329187
44,0,38.685,36,34,221,19,13.555424173537483,3.608,2,2,161,0,12.838113301928704
45,0,37.739,35,28,125,18,12.57939267691887,3.195,2,2,117,0,9.823414603612926
46,0,41.252,38,29,130,19,15.035976076616251,3.508,2,2,149,0,12.480051589944841
47,0,41.387,37,36,506,18,23.771502167833532,2.632,2,2,38,0,2.735701018031793
48,0,38.657,35,29,267,19,16.893985845790155,3.564,2,2,187,0,13.062025896487915
49,0,37.487,35,35,289,17,15.23712574605201,2.942,2,2,137,0,8.86618549576104
50,0,36.973,34,32,398,18,19.58033862477002,2.979,2,2,110,0,7.527364759344434
51,0,38.509,35,28,115,17,14.498348910173199,3.861,2,2,181,0,14.882108592405599
52,0,43.301,38,32,225,17,19.387115805587467,3.314,2,2,160,0,10.787575064664574
53,0,38.821,36,33,124,17,12.81394381742627,2.795,2,2,58,0,4.909692462881868
54,0,37.784,35,30,140,16,14.153503653359662,2.669,2,2,83,0,4.47274462097327
55,0,38.089,33,30,232,17,20.53920490033488,2.26,2,2,12,0,1.422118990247462
56,0,42.141,37,33,170,17,18.5932468339402,2.647,2,2,95,0,4.3583696936338345
57,0,40.389,37,34,109,17,14.336359726590654,3.388,2,2,145,0,10.382063534926239
58,0,55.948,46,40,398,18,36.198226580975025,3.028,2,2,87,0,6.673961174426941
59,0,55.379,42,36,894,22,67.951812395313,2.481,2,2,20,0,1.374601225275368
60,0,39.093,37,36,103,20,12.556353491878628,3.148,2,2,90,0,7.025628474055285
